"","Li51","Li52","Li54","Li55","Li62","Li63","Li64","Li65","Li11","Li12","Li13","Li14","Li15","Li21","Li22","Li23","Li24","Li25"
"ENSMUSG00000025927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100204",3,0,2,3,2,1,6,5,3,1,2,0,2,6,5,3,0,8
"ENSMUSG00000084668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043760",78,119,124,174,118,178,156,153,365,363,302,294,440,395,425,334,227,307
"ENSMUSG00000104095",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"ENSMUSG00000089914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090142",0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1
"ENSMUSG00000070175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000099906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025929",6,15,1,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041872",6,31,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041859",503,368,578,385,351,430,621,610,195,187,159,169,188,258,180,138,105,124
"ENSMUSG00000099714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097934",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"ENSMUSG00000025931",4,5,10,1,15,1,9,12,8,21,23,14,16,20,16,12,6,18
